"indic","qdesc","sdesc","who_2016","ilab","subst","samb","dontask1","dontask2","dontask3","dontask4","dontask5","dontask6","dontask7","dontask8","doaskif","nnonly","a_nrp","a_pend_6w","a_preg","b_0101","b_0102","b_0103","b_0104","b_0105","b_0106","b_0107","b_0108","b_0109","b_0110","b_0111","b_0112","b_0199","b_0201","b_0202","b_0203","b_0204","b_0205","b_0299","b_0301","b_0302","b_0303","b_0401","b_0402","b_0403","b_0499","b_0501","b_0502","b_0601","b_0602","b_0701","b_0801","b_0901","b_0902","b_0903","b_0904","b_0905","b_0906","b_0907","b_0908","b_0999","b_1001","b_1002","b_1003","b_1004","b_1006","b_1099","b_1101","b_1102","b_1201","b_1202","b_1203","b_1204","b_1205","b_1206","b_1207","b_1208","b_1209","b_1210","b_1299","b_9800","c_cult","c_emer","c_hsys","c_inev","c_know","c_resr"
"i129o","Did (s)he have a recent negative test by a health professional for malaria?","dia mal-","W610129-o","W610129-o (dia mal-)","Y","M","i022gY","i128oY","","","","","","","","","B","B-","B-","B","B","B","B","D","B","C","C","C","C","B+","B","B+","D","D","D","D","D","D","A-","B+","B","B","B","B+","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","D","D","D","D","D","N","N","N","B","B","B","B","B","B","B","B","B","B","B","C","C","D","B","B","C","C"
"i130o","Was there any diagnosis by a health professional of dengue fever?","dia deng","W610130-o","W610130-o (dia deng)","Y","M","i022gY","","","","","","","","","","A","C","C","E","E","E","E","E","E","E","E","E","E","N","I","N","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","D","E","D","E","E","E","E","E","E","E","E","E","E","E","N","N","E","E","E","E","E","E","E","E","E","E","E","E","C","A","A","D","B","C"
"i131o","Was there any diagnosis by a health professional of measles?","dia meas","W610131-o","W610131-o (dia meas)","Y","M","i022gY","","","","","","","","","","C-","C-","C-","C+","E","E","E","E","I","D","D","D","D","D","D-","E","D","D","D","D","D","D","D","E","D","D","D","D","D","C-","C-","C-","E","C-","C-","D","D","D","D","D","D","D","D","D","N","N","N","N","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","E","C","A","C","D","C","C"
"i132o","Was there any diagnosis by a health professional of high blood pressure?","dia hypt","W610132-o","W610132-o (dia hypt)","Y","M","i022gY","i022fY","i022eY","","","","","","","","B","B","A-","C","C","D","D","D","D","D","D","D","D","C","D-","D-","D-","D-","D-","D-","D-","D-","B","C","B","A-","A+","B","A","C","B","B","B","B","B","C","C","A+","C","C","C","C","C","C","D","D","D","D","D","N","N","N","B","B","B","B","B","B","B","B","B","B","B","C","C","B","B","C","C","C"
"i133o","Was there any diagnosis by a health professional of heart disease?","dia cvd","W610133-o","W610133-o (dia cvd)","Y","M","","","","","","","","","","","B","B+","B+","D","D","E","C","D","D","D","D","D","D","D","D-","D-","D-","D-","D-","D-","D-","D-","C+","D","B","A+","C","A","A+","C+","C+","C+","C+","C+","C+","C","C","C","C","C","C","B","C","C","C","C","C","C","B","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C+","C","A","B","B+","C","C"
"i134o","Was there any diagnosis by a health professional of diabetes?","dia diab","W610134-o","W610134-o (dia diab)","Y","M","i022gY","","","","","","","","","","C","C","B","C","C","D","C","C","C","C","C+","D","D-","D","D-","D-","D-","D-","D-","D-","D-","D-","C","D","I","B-","C","D","C","C","C","C","C","C+","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","A","B","B+","C","C"
"i135o","Was there any diagnosis by a health professional of asthma?","dia asth","W610135-o","W610135-o (dia asth)","Y","M","i022gY","","","","","","","","","","C+","C+","C+","D","C","D","D","D","C+","D","D","C","D","D","D-","D-","E","E","E","E","E","E","C+","D","C+","C+","C+","D","D","D","I","C+","C+","C+","C+","C","C","C","C","C","C","C","C","C","D","D","D","D","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C+","C","A","B","C+","C","C"
"i136o","Was there any diagnosis by a health professional of epilepsy?","dia epil","W610136-o","W610136-o (dia epil)","Y","M","i022gY","","","","","","","","","","C-","C-","C-","D","D","D","D","D","D","D","D","D","D","D","D-","D-","D","D","D","D","D","C","C-","D","C-","C-","C-","D","D","C-","C-","C-","C-","C-","I","C","C","C","C","C","C","C","C","C","C","D","D","D","C","D","N","N","D","D","C","D","C","D","D","D","D","D","D","C-","B+","A","B","C+","C","C"
"i137o","Was there any diagnosis by a health professional of cancer?","dia canc","W610137-o","W610137-o (dia canc)","Y","M","i022gY","","","","","","","","","","C+","C","C","D","D","E","D","D","D","D","D","E","D","D","D-","D-","I","I","I","I","I","I","C","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","C","N","N","N","N","D","N","N","N","D","D","D","D","D","D","D","C","D","D","D","D","B","E","B","A+","B","C"
"i138o","Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary Disease (COPD)?","dia copd","W610138-o","W610138-o (dia copd)","Y","M","i022gY","i022fY","i022eY","i022dY","","","","","","","B-","B-","B","D","D","D","D","D","D","D","D","D","D","D","D-","D-","E","E","E","E","E","E","C-","D","D","D","D","D","D","A+","B-","C-","C-","C-","C-","D","D","D","D","D","D","D","D","C","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C-","D","D","B","B+","D","D"
"i139o","Was there any diagnosis by a physician or health worker of dementia?","dia demt","W610139-o","W610139-o (dia demt)","Y","M","i022gY","i022fY","i022eY","i022dY","","","","","","","B","C","C","D","D","D","D","D","D","D","D","D","D","D","D-","D","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","C","N","N","N","C","C","C","C","C","C","C","B","C","C","C","C","B","E","C","B","C","C"
"i140o","Was there any diagnosis by a health professional of depression?","dia depr","W610140-o","W610140-o (dia depr)","Y","M","i022gY","i022fY","i022eY","i022dY","","","","","","","B","C","C","D","D","D","D","D","D","D","D","D","D","D","D-","D","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","C","N","N","N","B","B","B","B","B","C","B","A","C","C","C","C","B","E","C","D","C","C"
"i141o","Was there any diagnosis by a health professional of stroke?","dia strk","W610141-o","W610141-o (dia strk)","Y","M","i022gY","i022fY","i022eY","","","","","","","","C+","C+","C+","C+","C+","D","D","D","D","D","D","D","D","D","D-","D-","D-","D-","D-","D-","D-","D-","C+","D","C+","C+","I","B","D","C+","C+","C+","C+","C+","C-","D","D","B","D","D","D","D","D","C","D","D","D","D","C+","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C-","B","A","B","B","B","C"
"i142o","Was there any diagnosis by a health professional of sickle cell disease?","dia scd","W610142-o","W610142-o (dia scd)","Y","M","i022gY","","","","","","","","","","C-","C-","C","C-","C-","D","C-","D","C-","C-","D","D","D-","D","D-","D-","D","D","D","D","D","D","C-","D","C-","C-","C+","A+","D","C-","C-","C-","C-","C-","C-","C","C","C","C","C","C","C","C","C","D","D","D","D","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C-","B","B","B","C","B","C"
"i143o","Was there any diagnosis by a health professional of kidney disease?","dia kidn","W610143-o","W610143-o (dia kidn)","Y","M","i022gY","","","","","","","","","","C-","C","C","D","D","D","D","D","D","D","D","D","D-","D","D-","D-","D","D","D","D","D","D","C-","D","C","C-","C","D","D","C-","C-","C-","C-","I","C-","C","C","C","C","C","C","C","C","C","D","D","D","D","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C-","C","D","B","B","C","C"
"i144o","Was there any diagnosis by a health professional of liver disease?","dia liver","W610144-o","W610144-o (dia liver)","Y","M","i022gY","","","","","","","","","","C-","C","C","D","D","D","D","D","D","D","D","D","D","D","D-","D-","D","B","D","D","D","C","C-","C-","C-","C-","C-","C+","D","C-","C-","C-","I","C-","C-","C","C","C","C","C","C","C","C","C","D","D","D","D","D","N","N","N","D","D","D","D","D","D","C-","D","D","D","C","C-","C","D","B","B","C","C"
"i147o","During the illness that led to death, did (s)he have a fever?","fever","W610147-o","W610147-o (fever)","Y","M","","","","","","","","","","","B","B","B","A","A","B+","C","A+","A","A+","B+","B+","B+","A+","I","A","C","C","C","C","C","C-","C","C","C","C+","C+","C+","C+","D","D","A-","C","C","C","C","B","C","C","C","A","C","C","C","D","D","A","A+","D","C","N","N","C","D","D","D","D","C","D","D","D","D","D","C","B","B","C","D","B","D"
"i148a","Did the fever last less than a week before death?","fev <1w","W610148-a","W610148-a (fev <1w)","Y","M","i148cY","i148bY","","","","","","","i147oY","","C","B","B","A+","A+","C","B+","I","A","A+","A-","C","C","A","A-","A+","B","B","B","B","B","B","C","C","C","B","B","B","B","C","D","A-","C","B","C","A","A","B","B+","B","A-","B","B","C","D","D","A","A-","D","D","N","N","B+","B","B","D","D","C","D","D","D","D","D","B","B","C","C","D","B","D"
"i148b","Did the fever last at least one week, but less than 2 weeks before death?","fev 1-2w","W610148-b","W610148-b (fev 1-2w)","Y","M","i148aY","i148cY","i022hY","i022iY","i022jY","","","","i147oY","","C","A","A","A","D","C+","B+","A-","B","B","A-","C","B","A+","A+","A","B","B","B","B","B","B","C","C","C","B","B","B","B","C","D","D","C","B","C","B","B","C","C","C","A","C","C","C","D","D","B","B","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","B","B","C","C","D","B","D"
"i148c","Did the fever last at least 2 weeks before death?","fev 2+w","W610148-c","W610148-c (fev 2+w)","Y","M","i148aY","i148bY","i022hY","i022iY","i022jY","","","","i147oY","","C","B","B","C","C","A-","B-","B-","B-","C","B+","A","A","D","E","A-","B","B","B","B","B","B","B","B","B","B","B","B","B","C","C","D","B","B","B","C","C","C","C","C","C","C","C","C","D","D","B","B","B","N","N","N","D","D","D","D","D","D","D","D","D","D","D","B","B","D","B","C","B","D"
"i149o","Did the fever continue until death?","fev death","W610149-o","W610149-o (fev death)","Y","M","","","","","","","","","i147oY","","C","B","B","A","A","C","B","A","A","A","A","C","C","A","A","A","B","B","B","B","B","B","C","C","C","B","B","B","B","C","D","B","C","B","C","B","A","B","B","B","A","B","B","C","D","D","B","B","D","D","N","N","B","B","B","D","D","C","D","D","D","D","D","C","B","C","C","D","B","D"
"i150a","Was the fever severe?","fev sev","W610150-a","W610150-a (fev sev)","Y","M","i022gY","","","","","","","","i147oY","","C","B","B-","C","D","C+","C","C","D+","C-","D","C","D","C","A","C","D-","C-","D+","C-","D+","C","C","C","C","D+","C+","C","C","C-","D-","C","C-","C","D+","B","A","D","D-","D-","B","D","C","D","N","N","N","N","N","E","N","N","C-","D","C-","D-","D+","D","D-","D+","D","D","D-","C","B","C","B","C","B","C"
"i151a","Was the fever continuous?","fev cont","W610151-a","W610151-a (fev cont)","Y","M","i022gY","","","","","","","","i147oY","","C","B","B-","C","D","C+","C","E","D","C","D","C","D","C","B","C","E","E","E","E","E","E","D","D","D","D","D","D","D","D","D","D","D","D","D","B","D","D","D","C","C","D","D","D","N","N","N","N","N","E","N","N","D","D","D","D","D","D","D","D","D","D","D","D","B","C","B","C","B","C"
"i152o","Did (s)he have night sweats?","fev nsw","W610152-o","W610152-o (fev nsw)","Y","M","i022gY","i022fY","","","","","","","i147oY","","C-","C","C","C-","C-","C+","D","C+","D","D","D","A","D","D","D","D","B","B","B","B","B","B","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","D","C","D","D","D","C","D","D","D","N","N","D","D","N","N","N","N","D","D","D","D","D","C-","C-","D","D","D","D","C-","C","C","C","C","C","C"
"i153o","During the illness that led to death, did (s)he have a cough?","cough","W610153-o","W610153-o (cough)","Y","M","","","","","","","","","","","B","B","B","B-","A","A-","C","A-","A-","C","C","A+","A+","C","C","B","D","D","A","C-","D","B","A","B","C","C","C","B","A-","I","C","C","C","C","C","C","C","C","C","C","C","C","C","C","D","B-","A","B","D","C","N","N","D","D","D","D","D","D","D","D","D","D","D","B","C","C","C","C","C","C"
"i154a","Did the cough last less than 3 weeks before death?","cou <3w","W610154-a","W610154-a (cou <3w)","Y","M","i154bY","","","","","","","","i153oY","","B+","B+","B+","B-","A+","C","B","A-","A-","D","C","C","A-","C","C","B+","B+","C","C","B+","C","C","A","C","B+","B","C","A-","B+","B","A+","B+","B+","B+","B+","D","D","D","D","D","C","D","D","D","D","C-","B+","D","D","C","N","N","D","D","D","D","D","D","D","D","D","D","D","B+","C","C","C","D","C","C"
"i154b","Did the cough last at least 3 weeks before death?","cou 3+w","W610154-b","W610154-b (cou 3+w)","Y","M","i022gY","i154aY","i022hY","i022iY","i022jY","","","","i153oY","","B","B","B","D","C","A","C","C","C","D","C","A+","A+","D","E","B+","B-","B-","A","B-","B-","B","B","B+","B","B","B+","B","A-","I","B","B","B","B","B","D","D","D","D","D","D","C","D","D","D","D","C","D","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","B","C","D","B","D","B","C"
"i155o","Was the cough productive, with sputum?","cou prod","W610155-o","W610155-o (cou prod)","Y","M","i022gY","i022fY","","","","","","","i153oY","","B-","B-","B-","D","A","C","C","C","C+","D","C","A+","A","D","E","B-","B-","B","B","B-","B","B-","B-","C","B-","B","C","C","C","A+","A-","B-","B-","B-","B-","D","D","D","D","D","D","D","D","D","D","D","N","N","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","B-","B","C","B","C","B","C"
"i156o","Was the cough very severe?","cou sev","W610156-o","W610156-o (cou sev)","Y","M","i022gY","","","","","","","","i153oY","","D","D","D","C","C","C-","C","C-","C","C","D","B","A","D+","E","C","E","E","B","E","E","C-","C","C","D","E","D","D","C","B","B","E","D","E","E","D","D","D","D","D","C","D","D","D","N","N","N","N","N","N","N","N","E","E","D","C","D","D","D","D","E","D","E","C","C","C","B","C","C","C"
"i157o","Did (s)he cough up blood?","cou bld","W610157-o","W610157-o (cou bld)","Y","M","i022gY","i022fY","","","","","","","i153oY","","C+","C+","C+","D","C","B-","D-","D-","D-","D-","D-","A","D-","B","C","D","C+","B","A","C+","B","B-","C+","C","C+","C+","C+","C","C","B-","C+","C+","C+","C+","C+","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","B","B","C","D","D","D","C+","D","D","D","D","C+","B","B","B","D","B","D"
"i158o","Did (s)he make a whooping sound when coughing?","cou whoop","W610158-o","W610158-o (cou whoop)","Y","M","i022aY","i022bY","i022cY","","","","","","i153oY","","D","D","D","E","E","E","E","E","E","E","E","E","I","N","N","E","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","C","B","D","B","D"
"i159o","During the illness that led to death, did (s)he have any difficulty breathing?","dif br","W610159-o","W610159-o (dif br)","Y","M","","","","","","","","","","","D","C","C+","C","A","B-","B-","C","D+","C","C","B-","B","B","B-","C+","D+","C","B","C+","C-","C+","C","C","B-","B-","B-","C","B-","C+","C-","C","C+","B-","C-","C","C","C-","C-","D-","C-","C-","C","C","A-","A","B+","C+","E","D","N","N","C","C","C","D-","C","C","C-","C","D","C","D+","B-","C","D","C","C","C","C"
"i161a","Did the difficult breathing last for at least 3 days before death?","dif br 3d","W610161-a","W610161-a (dif br 3d)","Y","M","i022hY","i022iY","","","","","","","i159oY","","D","C","C+","C","A","B-","C","D+","N","D-","C","B+","B","D","D","C","D+","C","A","C+","C-","C+","C","C","C+","C+","C+","C","B-","C+","C-","C","C+","C+","D+","C","C","D+","D","D-","C-","D+","C","C-","A-","A","B+","C+","E","D","N","N","C-","C","C-","D-","D+","D+","D-","C-","D","C-","D-","C+","C","D","C","D","C","D"
"i165a","Was the difficult breathing continuous during this period?","dif br con","W610165-a","W610165-a (dif br con)","Y","M","i022gY","","","","","","","","i159oY","","D","C","C+","C","C","B-","C+","C-","N","N","C","C+","B","D","D","C+","D","C","B","C+","C-","C+","C","C","C+","B-","B-","C","B-","C+","D+","C","C+","B-","C-","C","C","C-","C","D","C-","C-","C","C","N","N","N","N","N","N","N","N","C+","C","C","D-","C-","C","C-","C","D","C-","C-","C+","D","D","C","C","D","D"
"i166o","Did (s)he have fast breathing?","br fast","W610166-o","W610166-o (br fast)","Y","M","","","","","","","","","i159oY","","A+","D","D","C","A+","B","D","A-","A-","B+","B+","B","B","B+","C","B+","D","D","D","B","C","D","B","B","C-","C","C-","C+","C","B","C","C","C","C","C","D","D","D","D","D","D","D","D","D","D","A","A","D","D","D","N","N","D","D","D","D","C","C","C","D","D","D","D","C","C","D","C","C","C","C"
"i167a","Did the fast breathing last for less than two weeks before death?","br fs <2w","W610167-a","W610167-a (br fs <2w)","Y","M","i167bY","","","","","","","","i166oY","","A+","D","D","B-","A","D","D","A-","A-","B+","D","D","C","D","C","B+","D","D","D","B","C","D","B+","B","D","C","C-","B","B","B","B","C","C","C","C","D","D","D","D","D","D","D","D","D","D","B","A","D","D","D","N","N","D","D","D","D","C","C","C","D","D","D","D","C","B","D","C","C","B","C"
"i167b","Did the fast breathing last for at least 2 weeks before death?","br fs 2+w","W610167-b","W610167-b (br fs 2+w)","Y","M","i167aY","i022hY","i022iY","i022jY","","","","","i166oY","","A+","D","D","D","B","B+","D","D","D","E","C","C","B","C","E","C","D","D","D","B","C","D","B-","C+","C-","D","D-","C","B+","B","D","C","C","C","C","D","D","D","D","D","D","D","D","D","D","N","N","N","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","D","B","D","B","D"
"i168o","Did (s)he have breathlessness?","brless","W610168-o","W610168-o (brless)","Y","M","","","","","","","","","i159oY","","B+","B+","A-","B","A","B+","D","B+","B","B","B","A+","B","C","C","B+","B","B","A","B","B","B","B","C+","C","B","C","C","B","I","B","C","C","C","C","C","C","C","C","C","C","C","C","C","D","A","A","D","D","D","N","N","C","C","C","C","C","C","C","D","D","D","D","C","C","D","C","D","C","D"
"i169a","Did the breathlessness last for less than 2 weeks before death?","brl <2w","W610169-a","W610169-a (brl <2w)","Y","M","i169bY","","","","","","","","i168oY","","B","B","B+","B","A","B","D","B+","B","B","B","C","C","C","C","B+","B","B","A-","B+","B","B","A-","C+","D","B+","B-","C+","B-","D","B+","D","D","D","D","C","C","C","C+","C","C","B","C","C","D","A","A","D","D","D","N","N","D","D","D","D","C","C","C","D","D","D","D","D","C","D","C","D","C","C"
"i169b","Did the breathlessness last for at least 2 weeks before death?","brl 2+w","W610169-b","W610169-b (brl 2+w)","Y","M","i169aY","i022hY","i022iY","i022jY","","","","","i168oY","","B","B","B+","C","C","B+","D","D","D","E","D","A+","B","D","E","C","D","D","A+","D","D","C","B","C+","C","D","D","C-","B+","I","D","D","D","D","D","C","C","C","C","C","C","B-","C","C","D","N","N","N","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","D","B","C","B","D"
"i170o","Was (s)he unable to carry out daily routines due to breathlessness?","brl unab","W610170-o","W610170-o (brl unab)","Y","M","i022gY","i022fY","i022eY","","","","","","i168oY","","C","C","C+","C","C","C+","D","D","D","D","D","C+","D-","D","D","D","C","C","A-","C","C","C+","C","C","C","B","C","B","A+","I","A","C","C","C","C","D","D","D","C+","D","C","C+","D","D","D","N","N","N","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","D","C","C","C","C"
"i171o","Was (s)he breathless while lying flat?","brl flat","W610171-o","W610171-o (brl flat)","Y","M","i022gY","i022fY","i022eY","","","","","","i168oY","","C","C","C+","C","C","C","D","D","D","D","D","C","D-","D","E","D","C","C","A-","C","C","C","C","C","C","B","C","C","A+","A+","A+","C","C","C","C","D","D","D","C","D","C","C+","D","D","D","N","N","N","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","D","C","B","C","D"
"i172o","Did you see the lower chest wall/ribs being pulled in as the child breathed?","indraw","W610172-o","W610172-o (indraw)","Y","M","i022cY","i022bY","i022aY","","","","","","i159oY","","D","D","D","C","A+","C-","D","D","D","D","D","C-","C","D","E","C-","N","N","N","N","N","N","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","D","D","D","D","D","D","D","D","D","C-","A+","A","B","D","C+","N","N","D","D","D","D","D","D","D","D","D","D","D","C-","B","C","B","D","B","D"
"i173a","Did his/her breathing sound like wheezing or grunting?","whz grun","W610173-a","W610173-a (whz grun)","Y","M","","","","","","","","","i159oY","","C","C","C","C","C","C","D","C+","D","D","D","C","B","C","E","B","C","C","A","C","C","C","C","C","C","D","C","C","D","A","I","C","C","C","C","D","D","D","D","D","D","D","D","D","C","A","A","C","D","B","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C"
"i174o","During the illness that led to death, did (s)he have chest pain?","ch pain","W610174-o","W610174-o (ch pain)","Y","M","i022gY","i022fY","","","","","","","","","B-","B+","B+","B","B+","C+","D","B","B","C","B","B","B","D","E","C","B","B-","A","B","B-","B+","C","B-","C","A+","C","B+","A-","D","D","D","D","D","D","D","D","D","D","D","D","C","D","D","N","N","N","N","D","N","N","N","B+","B+","C","D","C","C","D","D","D","C","D","B","B","A","C","B","B","D"
"i175o","Was the chest pain severe?","chp sev","W610175-o","W610175-o (chp sev)","Y","M","i022gY","i022fY","","","","","","","i174oY","","B-","B+","B+","B","B+","C+","D","B","B","C","B","B","B","D","E","C","B","B-","A","B","B-","B+","C","B-","C","A+","C","B+","A-","D","D","D","D","D","D","D","D","D","D","D","D","C","D","D","N","N","N","N","D","N","N","N","B","B","C","D","C","C","D","D","D","C","D","C","B","A","C","B","B","D"
"i176a","Did (s)he experience chest pain at least 3 days before death?","chp 3d","W610176-a","W610176-a (chp 3d)","Y","M","i022gY","i022fY","","","","","","","i174oY","","D","C","C","C","D","C","E","D","D","D","D","C","C","E","E","D","E","E","C","C","E","E","D","E","D","A+","C","B","B","C","D","E","E","E","E","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","E","B","B","B","B","B","D"
"i178a","Did the chest pain last for at least 30 minutes?","chp 30m","W610178-a","W610178-a (chp 30m)","Y","M","i022gY","i022fY","","","","","","","i174oY","","D","C","C","E","D","E","E","E","E","E","E","D","E","E","E","D","E","C-","C-","C","D","D","D","D","C-","A+","C-","C","C+","C-","D+","E","C-","C","D","D","D","D","D","D","D+","D","D","D-","N","N","N","N","N","N","N","N","D+","D","D+","D","D","D-","D","D-","D","D-","D-","C-","B","A","B","B","B","D"
"i181o","Did (s)he have diarrhoea?","diarr","W610181-o","W610181-o (diarr)","Y","M","","","","","","","","","","","B","B","B","C","C","A-","I","C","B","C","C","C","C","C","D","B","C","A-","D","C","A","B","C","A","C","C","C","C","C","C","C","B","B","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C+","C","C+","N","N","C","C","C","C","C","C","B","C","C","C","C","A","C","D","C","D","C","D"
"i182a","Did (s)he have diarrhoea for less than 2 weeks before death?","drr <2w","W610182-a","W610182-a (drr <2w)","Y","M","i182cY","i182bY","","","","","","","i181oY","","B+","B+","B+","C","C","C+","I","B","B","C","C","C","C","B","D","B-","B-","A-","E","C+","C+","C","B-","B","B","C","B+","B","C","C","B-","B+","B-","B-","B+","C","C","C","C","C","C","C","C","C","C","C","B+","B+","B-","C-","N","N","C","C-","C-","C-","C-","C+","C+","C","C","C","C","C","D","C","C","D","D","D"
"i182b","Did (s)he have diarrhoea for at least 2 weeks but less than 4 weeks before death?","drr 2-4w","W610182-b","W610182-b (drr 2-4w)","Y","M","i182aY","i182cY","i022hY","i022iY","i022jY","","","","i181oY","","B-","B-","B-","C","C","B-","I","C","C","C","C","C","C","D","E","B-","B-","A-","D","C+","C+","C","B-","A-","B-","C","B-","B-","C","C","B-","B","B-","B-","B-","C","C","C","C","C","C","C","C","C","C","D","B-","B-","B-","N","N","N","C","C","C","C","C","C","C","C","C","C","C","B+","D","D","C","D","D","D"
"i182c","Did (s)he have diarrhoea for at least 4 weeks before death?","drr 4+w","W610182-c","W610182-c (drr 4+w)","Y","M","i022gY","i182aY","i182bY","i022hY","i022iY","i022jY","","","i181oY","","B","B","B","C","C","A+","I","C","C","C","C","C","C","D","E","B","B","A","D","C+","C+","C","B","A","B","C","B","B","C","C","B","B+","B","B","B","C","C","C","C","C","C","C","C","C","C","D","B","B","B","N","N","N","C","C","C","C","C","C","C","C","C","C","C","B+","C","D","B","B","B","D"
"i183a","Did the baby or child have at least 4 stools on the day that loose liquid stools were most frequent?","4+ stls","W610183-a","W610183-a (4+ stls)","Y","M","i022aY","i022bY","i022cY","i022gY","","","","","i181oY","","N","N","N","E","E","D+","A","E","D","D","E","D-","E","D","E","E","N","N","N","N","N","D","C","B","D","E","E","D","C-","N","E","E","N","N","N","N","N","N","N","N","N","N","N","N","D","N","D","D+","D-","N","N","N","E","E","E","E","D+","D","E","N","E","E","E","D","C","C","C","D","C","D"
"i184a","Did the frequent loose or liquid stools start at least 3 days before death?","drr 3d","W610184-a","W610184-a (drr 3d)","Y","M","i022aY","i022bY","i022cY","i022gY","","","","","i181oY","","N","N","N","D","D","C-","A+","D","D","D","E","D","E","D","E","D","N","N","N","N","N","D","D","B","D","D","E","D","C","N","E","E","N","N","N","N","N","N","N","N","N","N","N","N","D","N","D","D","D","N","N","N","E","E","E","E","E","E","E","N","E","E","E","C","C","C","C","D","C","D"
"i185o","Did the frequent loose or liquid stools continue up until death?","drr to d","W610185-o","W610185-o (drr to d)","Y","M","i022aY","i022bY","i022cY","i022gY","","","","","i181oY","","N","N","N","D","D","D+","A+","D","D","D","E","D","E","D","E","D","N","N","N","N","N","D","D","C","D","D","E","E","C-","N","N","E","N","N","N","N","N","N","N","N","N","N","N","N","D","N","D","D","D","N","N","N","E","E","E","E","D+","E","E","N","E","E","E","C-","C","C","C","C","C","D"
"i186o","At any time during the final illness was there blood in the stools?","drr bld","W610186-o","W610186-o (drr bld)","Y","M","","","","","","","","","i181oY","","C","C","C","C","C","C+","I","C","C","C","C","C","C","B","B-","D","C","A-","D","C","C","C","C","C","C","C","C","C","C","C","C","B","C","C","C","D","D","D","D","D","D","D","D","D","D","D","D","D","D","C-","N","N","D","D","D","D","D","D","D","D","D","D","D","C","B","B","B","B","B","D"
"i187o","Was there blood in the stool up until death?","dr bld d","W610187-o","W610187-o (dr bld d)","Y","M","i022gY","","","","","","","","i181oY","","D","D","D","E","D","C-","A","D-","E","E","E","D+","E","B-","C+","D+","N","C-","D","D+","D+","C-","D","D","C-","D+","D-","D","D+","N","D-","D","C","C-","D","D","D","D","D","D","D-","D","D","D","N","N","N","N","N","N","N","N","E","E","D-","E","E","D","D-","D","E","E","E","C-","B","B","C","C","B","D"
"i188o","During the illness that led to death, did (s)he vomit?","vomit","W610188-o","W610188-o (vomit)","Y","M","","","","","","","","","","","B+","B+","B+","B","B","B","A","A-","B","A","B+","B+","A+","A-","A-","A-","B+","A-","C","B+","B","B+","B+","C","B+","A-","B","B+","B+","C","B+","A-","A-","C","C","B","B","B","B","B","B-","B","B","B","C","C","B+","B+","B+","C","N","N","B","B","B","B","D","B","A","B+","B+","D","A-","B+","C","C","C","C","C","D"
"i189o","Did (s)he vomit in the week preceding the death?","vom bd","W610189-o","W610189-o (vom bd)","Y","M","","","","","","","","","i188oY","","B+","B+","B+","B","B","B","A","B","B","A","B","B","A","B","B","B","B","B","C","B","B","B","B","C","B","A","B","B","B","C","B","B","B","C","C","B","B","B","B","B","C","B","B","B","C","C","B","B","B","C","N","N","B","B","B","B","D","B","A","B","B","D","B","B","C","C","C","C","C","D"
